"risposta","tipo","parameter","median","ci90","fonte"
"SOC","within-field","logBottom",-0.37821781,"[-0.472, -0.286]","M-SP (reference)"
"SOC","within-field","Texture1",-0.055386875,"[-0.134, 0.022]","M-SP (reference)"
"SOC","within-field","Texture2",-0.528560485,"[-0.660, -0.397]","M-SP (reference)"
"SOC","within-field","BulkDensity",-0.223154705,"[-0.362, -0.084]","M-SP (reference)"
"SOC","management","OnFarm",-0.080834089,"[-0.443, 0.304]","M-SP (reference)"
"SOC","management","Irrigate",0.18068891,"[-0.033, 0.388]","M-SP (reference)"
"SOC","management","Fertilised",-0.031842438,"[-0.307, 0.234]","M-SP (reference)"
"SOC","management","N_Natural",0.10884677,"[-0.245, 0.463]","M-SP (reference)"
"N","within-field","logBottom",-0.20229992,"[-0.253, -0.152]","M-SP (reference)"
"N","within-field","Texture1",-0.040628837,"[-0.093, 0.011]","M-SP (reference)"
"N","within-field","Texture2",-0.28774954,"[-0.370, -0.205]","M-SP (reference)"
"N","within-field","BulkDensity",-0.204349565,"[-0.291, -0.114]","M-SP (reference)"
"N","management","OnFarm",0.25063756,"[0.009, 0.500]","M-SP (reference)"
"N","management","Irrigate",-0.152129915,"[-0.303, -0.006]","M-SP (reference)"
"N","management","Fertilised",-0.108168185,"[-0.300, 0.076]","M-SP (reference)"
"N","management","N_Natural",0.23164311,"[-0.039, 0.492]","M-SP (reference)"
"P","within-field","logBottom",-0.0622736685,"[-0.144, 0.021]","M-SP (reference)"
"P","within-field","Texture1",0.000547809905,"[-0.080, 0.082]","M-SP (reference)"
"P","within-field","Texture2",-0.072450685,"[-0.215, 0.070]","M-SP (reference)"
"P","within-field","BulkDensity",-0.149937875,"[-0.297, -0.001]","M-SP (reference)"
"P","management","OnFarm",0.649938305,"[0.235, 1.080]","M-SP (reference)"
"P","management","Irrigate",0.400742805,"[0.131, 0.665]","M-SP (reference)"
"P","management","Fertilised",-0.282600885,"[-0.605, 0.047]","M-SP (reference)"
"P","management","N_Natural",-0.12947909,"[-0.564, 0.302]","M-SP (reference)"
"SOC","random_struct","psi_SOC",0.322506675,"[0.231, 0.436]","M-SP (reference)"
"SOC","random_struct","eta_SOC",0.20938505,"[0.125, 0.302]","M-SP (reference)"
"N","random_struct","psi_N",0.196709705,"[0.131, 0.274]","M-SP (reference)"
"N","random_struct","eta_N",-0.0507195825,"[-0.124, 0.021]","M-SP (reference)"
"P","random_struct","psi_P",0.391524465,"[0.293, 0.515]","M-SP (reference)"
"P","random_struct","eta_P",0.0958585305,"[0.019, 0.179]","M-SP (reference)"
"SOC","lme4_final","logBottom",-0.432662465256821,"[-0.518, -0.347]","lme4 (REML)"
"SOC","lme4_final","Texture2",-0.585612686718515,"[-0.678, -0.493]","lme4 (REML)"
"N","lme4_final","logBottom",-0.184417183103326,"[-0.227, -0.142]","lme4 (REML)"
"N","lme4_final","Texture2",-0.247913791416005,"[-0.312, -0.184]","lme4 (REML)"
"N","lme4_final","BulkDensity",-0.255273367576092,"[-0.324, -0.187]","lme4 (REML)"
"P","lme4_final","logBottom",-0.121931959017997,"[-0.185, -0.059]","lme4 (REML)"
