"risposta","tipo","parameter","median","ci90","fonte"
"SOC","within-field","logBottom",-0.371513,"[-0.470, -0.275]","M-SP-RIRS (reference)"
"SOC","within-field","Texture1",-0.064528028,"[-0.147, 0.019]","M-SP-RIRS (reference)"
"SOC","within-field","Texture2",-0.520887255,"[-0.662, -0.381]","M-SP-RIRS (reference)"
"SOC","within-field","BulkDensity",-0.228029235,"[-0.370, -0.081]","M-SP-RIRS (reference)"
"SOC","within-field","PH",-0.022948689,"[-0.112, 0.066]","M-SP-RIRS (reference)"
"SOC","management","OnFarm",-0.11102762,"[-0.494, 0.301]","M-SP-RIRS (reference)"
"SOC","management","Irrigate",0.21033456,"[-0.024, 0.440]","M-SP-RIRS (reference)"
"SOC","management","Fertilised",-0.020151438,"[-0.318, 0.265]","M-SP-RIRS (reference)"
"SOC","management","N_Natural",0.0886540985,"[-0.304, 0.482]","M-SP-RIRS (reference)"
"N","within-field","logBottom",-0.20426446,"[-0.265, -0.143]","M-SP-RIRS (reference)"
"N","within-field","Texture1",-0.0220680755,"[-0.078, 0.033]","M-SP-RIRS (reference)"
"N","within-field","Texture2",-0.28073878,"[-0.368, -0.189]","M-SP-RIRS (reference)"
"N","within-field","BulkDensity",-0.198569325,"[-0.288, -0.106]","M-SP-RIRS (reference)"
"N","within-field","PH",0.0062553019,"[-0.049, 0.061]","M-SP-RIRS (reference)"
"N","management","OnFarm",0.25603943,"[0.007, 0.517]","M-SP-RIRS (reference)"
"N","management","Irrigate",-0.13310214,"[-0.281, 0.016]","M-SP-RIRS (reference)"
"N","management","Fertilised",-0.09940914,"[-0.290, 0.089]","M-SP-RIRS (reference)"
"N","management","N_Natural",0.1756984,"[-0.102, 0.445]","M-SP-RIRS (reference)"
"P","within-field","logBottom",-0.0705876385,"[-0.155, 0.014]","M-SP-RIRS (reference)"
"P","within-field","Texture1",0.00761490765,"[-0.074, 0.089]","M-SP-RIRS (reference)"
"P","within-field","Texture2",-0.069140104,"[-0.215, 0.077]","M-SP-RIRS (reference)"
"P","within-field","BulkDensity",-0.14116165,"[-0.292, 0.013]","M-SP-RIRS (reference)"
"P","within-field","PH",0.0224909045,"[-0.069, 0.112]","M-SP-RIRS (reference)"
"P","management","OnFarm",0.640855495,"[0.200, 1.081]","M-SP-RIRS (reference)"
"P","management","Irrigate",0.42541216,"[0.151, 0.697]","M-SP-RIRS (reference)"
"P","management","Fertilised",-0.296076955,"[-0.637, 0.040]","M-SP-RIRS (reference)"
"P","management","N_Natural",-0.12516287,"[-0.581, 0.328]","M-SP-RIRS (reference)"
"SOC","random_struct","tau_alpha_SOC",0.330093715,"[0.237, 0.444]","M-SP-RIRS (reference)"
"SOC","random_struct","tau_beta_SOC",0.22352357,"[0.130, 0.323]","M-SP-RIRS (reference)"
"SOC","random_struct","rho_SOC",0.67587217,"[0.273, 0.913]","M-SP-RIRS (reference)"
"N","random_struct","tau_alpha_N",0.204470795,"[0.145, 0.278]","M-SP-RIRS (reference)"
"N","random_struct","tau_beta_N",0.145052165,"[0.063, 0.217]","M-SP-RIRS (reference)"
"N","random_struct","rho_N",-0.1649129,"[-0.586, 0.281]","M-SP-RIRS (reference)"
"P","random_struct","tau_alpha_P",0.388916755,"[0.292, 0.509]","M-SP-RIRS (reference)"
"P","random_struct","tau_beta_P",0.09381779,"[0.012, 0.189]","M-SP-RIRS (reference)"
"P","random_struct","rho_P",0.47766724,"[-0.290, 0.875]","M-SP-RIRS (reference)"
"SOC","lme4_final","logBottom",-0.432662465256821,"[-0.518, -0.347]","lme4 (REML)"
"SOC","lme4_final","Texture2",-0.585612686718515,"[-0.678, -0.493]","lme4 (REML)"
"N","lme4_final","logBottom",-0.184417183103326,"[-0.227, -0.142]","lme4 (REML)"
"N","lme4_final","Texture2",-0.247913791416005,"[-0.312, -0.184]","lme4 (REML)"
"N","lme4_final","BulkDensity",-0.255273367576092,"[-0.324, -0.187]","lme4 (REML)"
"P","lme4_final","logBottom",-0.121931959017997,"[-0.185, -0.059]","lme4 (REML)"
